Source,Song.Title,Artist,Lyric,Commentary,Code,Recode
https://www.allkpop.com/article/2014/12/23-k-pop-engrish-lyrics-that-will-make-you-laugh-or-facepalm,Mazeltov,ZE:A,"Latin girl, Mexican girl, Korean girl, Japan girl","Rebecca Black, please take the backseat. ZE:A is the first and only master of the weekdays.",Discourse Disjunct,Disjunct
https://www.allkpop.com/article/2014/12/23-k-pop-engrish-lyrics-that-will-make-you-laugh-or-facepalm,Mazeltov,ZE:A,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday","Rebecca Black, please take the backseat. ZE:A is the first and only master of the weekdays.",Discourse Disjunct,Disjunct
https://www.sportskeeda.com/pop-culture/8-cringiest-k-pop-lyrics-that-give-second-hand-embarrassment,Mazeltov,ZE:A,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday, Mazel Tov.","Not only is the beginning of the song loud, but its subsequent lyrics do not make sense at all. From the recitation of the days of the week to the description of many ethnicities, the track really has nothing major to offer.",Discourse Disjunct,Disjunct
https://www.sportskeeda.com/pop-culture/8-cringiest-k-pop-lyrics-that-give-second-hand-embarrassment,Mazeltov,ZE:A,"Latin girl, Mexican girl, Korean girl, Japanese girl, Mazel Tov.","Not only is the beginning of the song loud, but its subsequent lyrics do not make sense at all. From the recitation of the days of the week to the description of many ethnicities, the track really has nothing major to offer.",Discourse Disjunct,Disjunct
https://www.soompi.com/article/361458wpp/top-5-ridiculous-uses-of-english-in-kpop,Mazeltov,ZE:A,"Monday, Tuesday, Wednesday…” could be helpful for learning the days of the week","It was a very close contender for the #1 spot, but in this case I wouldn’t say it’s an Engrish issue because the words and phrases make sense. However there is no context whatsoever for the English x_x! The “Monday, Tuesday, Wednesday…” could be helpful for learning the days of the week. “Latin girl, Mexican girl, Korean girl, Japan girl” also puzzles me.",Discourse Disjunct,Disjunct
https://www.soompi.com/article/361458wpp/top-5-ridiculous-uses-of-english-in-kpop,Mazeltov,ZE:A,"Latin girl, Mexican girl, Korean girl, Japan girl","It was a very close contender for the #1 spot, but in this case I wouldn’t say it’s an Engrish issue because the words and phrases make sense. However there is no context whatsoever for the English x_x! The “Monday, Tuesday, Wednesday…” could be helpful for learning the days of the week. “Latin girl, Mexican girl, Korean girl, Japan girl” also puzzles me.",Discourse Disjunct,Disjunct
https://www.allkpop.com/article/2014/12/23-k-pop-engrish-lyrics-that-will-make-you-laugh-or-facepalm,My Girlfriend,Yoochun,My love is bigger than gingerbread man's vitality,"This whole song is evidence that�Yoochun just isn't that great at English, if you couldn't tell already.",Discourse Disjunct,Disjunct
https://www.koreaboo.com/lists/kpop-lyrics-funniest-random-always-confuse-fans/,Everyday,WINNER,Pizza and pasta are so yum yum.,"Well, most people can probably agree with this statement, but what was it doing in a song like “Everyday” by WINNER?",Discourse Disjunct,Disjunct
https://www.koreaboo.com/lists/kpop-lyrics-funniest-random-always-confuse-fans/,Relatable,VIXX,"I need therapy, la la la la la therapy.",Even though this line seems kind of out of place in VIXX‘s “On and On”… Relatable?,Discourse Disjunct,Disjunct
https://www.allkpop.com/article/2014/12/23-k-pop-engrish-lyrics-that-will-make-you-laugh-or-facepalm,330,U-KISS,Don't deny our love is r-squared-pi,"Translation: ""Don't deny our love is the area of a circle.""",Discourse Disjunct,Disjunct
https://www.koreaboo.com/lists/kpop-lyrics-funniest-random-always-confuse-fans/,330,U-KISS,Don’t deny our r²π.,The explanation for these lyrics from U-KISS‘s “0330” — which AJ said is supposed to represent the “hidden circle” that they and the listener are in — doesn’t change how out of place the line still seems!,Discourse Disjunct,Disjunct
https://www.sportskeeda.com/pop-culture/8-cringiest-k-pop-lyrics-that-give-second-hand-embarrassment,Cat & Dog,TXT,"Feel like I'm your cat, I'm your dog.","Given that Cat & Dog is a metaphoric number, its lyrics are questionable as well as amusing.",Innuendo,Innuendo
https://www.sportskeeda.com/pop-culture/8-cringiest-k-pop-lyrics-that-give-second-hand-embarrassment,I’m gonna be a star,TWICE,"All the oppas and eonnis (OK, OK) New star, do you want it? (OK, OK).",The aegyo style of songwriting makes the song a part of the cringiest K-pop lyrics section.,Cringe,Cringe
https://www.koreaboo.com/lists/kpop-lyrics-cringey-english-still-work-according-fans/,I Can’t Stop Me,TWICE,Risky risky wiggy 위기. This is an emergency.,risky risky wiggy wiggy this is an emergency slaps HARD,Positive Assessment,Positive
https://www.koreaboo.com/lists/kpop-lyrics-cringey-english-still-work-according-fans/,I Can’t Stop Me,TWICE,Risky risky wiggy 위기. This is an emergency.,We don't accept risky risky wiggy wiggy slander in this house,Positive Assessment,Positive
https://www.koreaboo.com/lists/kpop-lyrics-funniest-random-always-confuse-fans/,Purple Line,TVXQ,Really wanna touch myself.,Were the guys of TVXQ doing okay when they had this included in “Purple Line”?,Innuendo,Innuendo
https://www.allkpop.com/article/2014/12/23-k-pop-engrish-lyrics-that-will-make-you-laugh-or-facepalm,Purple Line,TVXQ,I really wanna touch myself,"Well. If you must. By all means, go ahead.",Innuendo,Innuendo
https://www.allkpop.com/article/2014/12/23-k-pop-engrish-lyrics-that-will-make-you-laugh-or-facepalm,Supa Luv,Teen Top,"Yeah, see what I'm try'na say baby
Is your love plus my love, supa luv
You know you want it, how that sound?",Who wouldn't say yes to dat flawless logic?,Discourse Disjunct,Disjunct
https://www.sportskeeda.com/pop-culture/8-cringiest-k-pop-lyrics-that-give-second-hand-embarrassment,Sexy Love,T-ARA,"you are so sexy. Sexy eyes, sexy nose, sexy mouth, sexy love. In my eyes everything is sexy.","However, as the song progresses, there is little hope for redemption. The lyrics are bland and almost childish. The chorus crosses all limits and offers humdrum and minimum-effort lyrics.",Cringe,Cringe
https://www.allkpop.com/article/2014/12/23-k-pop-engrish-lyrics-that-will-make-you-laugh-or-facepalm,Roly-Poly,T-ARA,"I like like this, I like like that, I like this, like that, yeah",Deep.,Cringe,Cringe
